email_subject,email_open_user_count,sent_user_count,open_rate
Kurtas you'll be happy to own!,90331,453412,19.92
You're the Winner!,3239,16281,19.89
Brunch Day! Shop Tops & Dresses,41916,210885,19.88
All things hot & trending by Cobb! Flat 60% off,9654,48686,19.83
We're trying to connect to you......,803,4055,19.8
It's raining diamonds💎,412,2083,19.78
Meet our Smartphone winner Priyanka!,441,2232,19.76
Never too late to workout! Shop sports shoes,221048,1120480,19.73
6 Types of T-shirts Every man needs | Free Shipping,33413,169428,19.72
What did you just see?,1015,5146,19.72
Feeling lucky again? We bet!,465,2360,19.7
FINAL CALL! You still have 1 last chance. HURRY...!!!!,676,3447,19.61
Stylish work attire upto 60% off,129553,661834,19.57
Festive Trends in Kanjeevarams,110422,564324,19.57
200+Full sleeve tees you can wear all year long!,216007,1104251,19.56
Stunning Maxi Dresses You Cannot Get Enough Of!,56552,289125,19.56
Share. Win. Repeat!,415,2124,19.54
Share & see the magic happen,670,3431,19.53
"Hi {user_first_name}, Bandhani & Leheriya sarees handpicked for you",233441,1195983,19.52
"Hi{user_first_name}, Casual shoes upto 70% off!",12293,63006,19.51
4 ways to style your blue Kurta this summer,139104,713645,19.49
"{user_first_name}, ALL NEW DRESSES just dropped!",49992,256517,19.49
"Skirts for summer, baby",33257,170694,19.48
Handpicked shirts for budget lovers,127669,655340,19.48
Short Kurtas Just For You,199297,1024176,19.46
Make this Lohri a fun-filled one!,429,2204,19.46
Shirts in checks & stripes for everyday! Upto 60% off,228079,1172903,19.45
The Denim fest! Min 40% - 60% off | Free Shipping,235341,1211310,19.43
"{user_first_name}, T-shirts is set of 2! Start shopping",233230,1201818,19.41
"Hi{user_first_name}, Stylish Kurta dresses for that Monsoon date!",230282,1188180,19.38
Your last chance at the bestsellers | free shipping,65776,340316,19.33
#TrendingNow: Colour block tees,12204,63167,19.32
"{user_first_name}, Dresses while you wait for your order!",8382,43406,19.31
Get rid of your Saturday Scaries!!,391,2032,19.24
M is for MADNESS! Shop from the craziest offers ever.,541824,2816658,19.24
"Just Arrived: All new sarees, get them first!",208078,1082005,19.23
Of Checks & Stripes! Shirts under 999 | Free Shipping,9992,51985,19.22
#TrendAlert: Washed denims under 999 | Free Shipping,176893,920440,19.22
Tropical floral kurtas to wear right now,108102,562456,19.22
"Block print kurtas, trending right now",10349,53884,19.21
"{user_first_name}, Kurta & Palazzo sets upto 80% off! Shop Now",6204,32299,19.21
Chic block prints kurtas on a budget,186752,973843,19.18
"Buy 2 for 799! Shop tees, watches & sunglasses",177149,924051,19.17
The Half Price sale! Flat 50 % off on everything,184758,965039,19.15
Start Early This Mother's Day 💌,11645,60834,19.14
Use your super power today! Start Sharing!,391,2043,19.14
#TrendAlert: Washed denims upto 60% off,8520,44568,19.12
Tis' the season to wear stripes!,5637,29477,19.12
Ranbir kapoor as Sanju! See his look here,203218,1064366,19.09
Solid shirts for 9 to 5,244701,1283902,19.06
Take a selfie like Kriti Sanon,12828,67286,19.06
Straight from the runway! Check this out!,157339,827552,19.01
Bebo nails the all-white looks,13107,68985,19
Denims in Black & Grey upto 65% off,791,4169,18.97
You can never go wrong with black tees,243300,1283333,18.96
8 Trends For The Summer,24494,129434,18.92
Seasons hottest Kurtas upto 75% off,132178,699257,18.9
YOU. The first thing we think of every morning ❤,465,2460,18.9
Easy to style bottomwear,32340,171183,18.89
The best is yet to come!,432,2288,18.88
Of Checks & Stripes! Shirts under 799 | Free Shipping,195670,1038480,18.84
Check shirts for everyday | free shipping,214295,1139154,18.81
It's Time To Get Fit,55369,294920,18.77
Checked Shirts You Must Own!,16422,87576,18.75
"Hi{user_first_name}, Gorgeous Anarkali Kurtas To Twirl In",228252,1217155,18.75
Full sleeve tees you can wear all year long,125299,669442,18.72
Min 40% - 60% off on EVERYTHING | Free Shipping,236625,1266288,18.69
Kurtas & sets for summer upto 75% off | Free Shipping,10211,54640,18.69
For A Casual Day Out! Shop Now❣️,63743,341423,18.67
Stylish kurta dresses for day & night!,208501,1116876,18.67
Wow Wednesday: Light wear sarees from Kota,208036,1115754,18.65
Shirts in black & white for everyday,439141,2356655,18.63
3 Dresses To Romanticize This Monsoon,57036,306164,18.63
"Ladies, treat yourself: kurtas under 499! Shop Now",182062,977571,18.62
Life's too short! Do what you love❤,412,2214,18.61
"It's Madness! Buy 1 Get 2 Free, Price store and what not? Explore",374785,2021873,18.54
Help your friends discover great Style,405,2187,18.52
"Hi{user_first_name}, 4 ways to style your blue Kurta this summer",188269,1016564,18.52
Tuesday Checklist: Share the love!,464,2505,18.52
1 White Shirt! 3 Ways To Style!,112624,608511,18.51
Style hard so you can shop harder!,480,2600,18.46
"{user_first_name}, Our bestselling tees upto 60% off",33380,180903,18.45
Best Selling Kurtas upto 80% off,180389,977486,18.45
Dresses Starting 699! Just Add To Cart!,1249,6785,18.41
Switch it up with stylish sleeves!,55977,304239,18.4
Bestselling casual shirts for summer,124274,675747,18.39
Kurtas to wear everyday,141966,771883,18.39
.....is cheaper than Therapy!!!!,927,5044,18.38
"{user_first_name}, Beautiful Embroidered Sarees Now On Budget!",204137,1110732,18.38
Style the Reel & Real life Jodi!,397,2162,18.36
Dress To Impress! Shop Formal Wear,151871,827339,18.36
Summer tees Buy 2 for 799 | Free shipping,152189,829471,18.35
The Ultimate Weekend Bash! Come Join!,37717,205630,18.34
Upto 81% Off On The Prettiest Dresses!!,12423,67798,18.32
Summer Tees - Buy 2 for 799 | Free Shipping,221838,1210951,18.32
Min 50% off on everything your wardrobe wants,242141,1322164,18.31
Dress up your day under 899,34410,188049,18.3
Casual shirts in SO. MANY. COLOURS.,53027,289718,18.3
Stylish Kurta dresses for that Monsoon date,197306,1078249,18.3
Bottomwear essentials for a sharp look!,221244,1209478,18.29
In The Blush Of Things 🌸 Shop Now,65875,360353,18.28
Chic Block Print Kurtas,9687,52983,18.28
Last & Final Call!!!,748,4094,18.27
"Hi{user_first_name}, Trending Block Print Kurtas from Jaipur",220752,1207955,18.27
"{user_first_name}, Min 60% off on bestselling kurtas!",16692,91384,18.27
"Hi{user_first_name}, Looks sharp in Formal shirts",10022,54868,18.27
"Ladies, treat yourself: kurtas under 999! Shop Now",4813,26374,18.25
The prices just dropped on 900+ shirts | Free Shipping,207788,1139384,18.24
Millions of people are waiting for your STYLE GYAN!!!,12680,69644,18.21
Style Inspiration: Deepika or Janhavi?,5451,29936,18.21
Full sleeve tees for a wardrobe upgrade,185653,1020341,18.2
"Hi{user_first_name}, Best selling Kurtas Under 499! Check'em out",233109,1280564,18.2
Kurtas every stylish woman owns | free shipping,172893,954215,18.12
"Hi{user_first_name}, 150+ Kurtas & sets for summer | Free Shipping",223632,1234723,18.11
1000+ T-Shirts Under 449!,102187,564700,18.1
Your style is Limited Edition,922,5098,18.09
Bigger than ever😲,420,2322,18.09
It's all Black & White! Shop casual shirts | Free Shipping,223638,1238360,18.06
Casual Shirts for summer by Flyrs club! Flat 549,166310,921221,18.05
"{user_first_name}, Classic straight kurtas handpicked for you",179953,997089,18.05
Everything under 499: LimeRoad's Flea Market,104291,578020,18.04
200+ Bestselling sarees,135110,749436,18.03
Sharing is good and it doesn''t take time,911,5054,18.03
"{user_first_name}, Perfectly styled Kurtas with Palazzos! Shop Now",200281,1112581,18
Under 499: Shirts You Must Own!,150285,835391,17.99
"{user_first_name}, Sneakers while you wait for your order!",39341,218686,17.99
Summer kurtas at flat 399,103886,578669,17.95
Kurtas & sets for summer under 999 | Free Shipping,194663,1084741,17.95
Min 40% - 60% off on just about everything | Free Shipping,220021,1227477,17.92
Bordered sarees for every occassion! Upto 80% OFF,13752,76805,17.91
We make a life by what we SHARE,631,3524,17.91
Wake up Beauty!!!,364,2034,17.9
The Big End of Season Sale | Free Shipping,186557,1044467,17.86
Launching 109F! Shop New,53417,299011,17.86
"Hi{user_first_name}, What your zodiac says for July 2018 💕",217774,1221924,17.82
On trend kurtas to wear all summer,127331,714414,17.82
"Hi{user_first_name}, Offers as hot as you are | Free shipping",185159,1040698,17.79
Get Classic With Solid Kurta Sets,185123,1040604,17.79
Sarees that are flying off our shelves,177098,995935,17.78
Best Denim Styles You Will See Today!,198252,1115547,17.77
You've been missing in action! Come back!,356,2005,17.76
Cotton Kurtas to wear all season!,212776,1198718,17.75
The Coolest July Shop! Everything Under 499,41722,235061,17.75
Pretty Maxi Dresses For The Summer,64817,365553,17.73
Casual Trousers for work & play,353124,1991968,17.73
The Hottest Exclusively On LimeRoad!,30219,170518,17.72
"Hi{user_first_name}, Cool New Tops & Dresses Handpicked For You!",63941,360927,17.72
Playful Playsuits! Shop Now,40386,228048,17.71
Exclusive brands only on limeroad!,106761,603619,17.69
"Hi{user_first_name}, Best selling Kurtas Starting 999! Check'em out",14832,83833,17.69
Bestselling Denims: 40-80% off + Free shipping,193389,1093540,17.68
Sharing today keeps the stress away!,814,4612,17.65
Are you a fan of the 90's Bollywood films?,409,2319,17.64
Summer Ready Bright And Sunny Kurtas,46116,261876,17.61
Four More Shots...oops Looks Please!!!!!,12242,69506,17.61
"Raat gayi, baat gayi?",394,2240,17.59
Maxi Dresses 😍 under 899!,29953,170396,17.58
"Hi{user_first_name}, Dress up for work | Shop shirts & trousers",190636,1085263,17.57
Kurtas for day and night! All under 999,7709,43878,17.57
Summer Tees - Buy 2 for 799,315064,1794177,17.56
Hot Trend Alert: Crayola Brights!,50850,289503,17.56
Festive trends from Rajasthan,132620,755171,17.56
All Things Grey!,159463,909030,17.54
Diljit Dosanjh CRUSHING OVER Kylie Jenner!!!,11995,68433,17.53
Breezy cotton kurtas perfect for you,6957,39691,17.53
order_related,4169194,23810969,17.51
"Hi {user_first_name}, T-shirts is set of 2! Start shopping",162085,926943,17.49
Perfectly matched Kurta sets for you!,10694,61255,17.46
"It's raining credits! Come, grab!",802,4594,17.46
